2026/01,[紀錄]Release Item 問題&服務上線價值,FontripReleaseItem-2026Q1,營運處-Release Item更新項目清單,,,,2025/01,[紀錄]Release Item 問題&服務上線價值,,,,,,系統更新總數,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,2026年度,研發處,營運處,管理處,小計,2025年度,研發處,營運處,管理處,小計
新開發項目/通路,0,0,0,1,0,1,新開發項目/通路,0,0,0,0,0,0,2026/01,24,5,0,29,2025/01,0,0,0,0
Bug修復,4,0,0,0,0,4,Bug修復,0,0,0,0,0,0,2026/02,3,0,0,3,2025/02,0,0,0,0
程式邏輯調整,6,0,0,0,0,6,程式邏輯調整,0,0,0,0,0,0,2026/03,21,0,0,21,2025/03,0,0,0,0
產品線功能優化,14,0,0,0,0,14,產品線功能優化,0,0,0,0,0,0,2026/04,6,1,0,7,2025/04,0,0,0,0
使用者功能優化,0,0,0,4,0,4,使用者功能優化,0,0,0,0,0,0,2026/05,7,3,0,10,2025/05,0,0,0,0
總計,24,0,0,5,0,,總計,0,0,0,0,0,,2026/06,0,0,0,0,2025/06,15,3,0,18
各部門內部計價," NT$ 15,000 ", NT$ -   , NT$ -   ," NT$ 3,125 ", NT$ -   ,,各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,2026/07,5,10,1,16,2025/07,32,3,0,35
,,,,,,,,,,,,,,2026/08,0,0,0,0,2025/08,20,1,0,21
2026/02,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/02,[紀錄]Release Item 問題&服務上線價值,,,,,,2026/09,0,0,0,0,2025/09,20,9,0,29
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,2026/10,0,0,0,0,2025/10,28,6,0,34
新開發項目/通路,0,0,0,0,0,0,新開發項目/通路,,,,,,0,2026/11,0,0,0,0,2025/11,41,6,0,47
Bug修復,1,0,0,0,0,1,Bug修復,,,,,,0,2026/12,0,0,0,0,2025/12,42,10,0,52
程式邏輯調整,1,0,0,0,0,1,程式邏輯調整,,,,,,0,年度累積數,66,19,1,86,,198,38,0,236
產品線功能優化,1,0,0,0,0,1,產品線功能優化,,,,,,0,,,,,,,,,,
使用者功能優化,0,0,0,0,0,0,使用者功能優化,,,,,,0,,,,,,,,,,
總計,3,0,0,0,0,,總計,0,0,0,0,0,,,,,,,,,,,
各部門內部計價," NT$ 1,875 ", NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,,,,,,,,,,
,,0,2,7,12,,,,,,,,,,,,,,,,,,
2026/03,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/03,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,0,0,0,0,0,0,新開發項目/通路,0,0,0,0,0,0,,,,,,,,,,
Bug修復,2,0,0,0,0,2,Bug修復,0,0,0,0,0,0,,,,,,,,,,
程式邏輯調整,7,0,0,0,0,7,程式邏輯調整,0,0,0,0,0,0,,,,,,,,,,
產品線功能優化,12,0,0,0,0,12,產品線功能優化,0,0,0,0,0,0,,,,,,,,,,
