月份,產品類別,每月完成數,逐月累積數,,月份,項目,累積完成數,,,項目,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
01月,2025旅遊商品(國內),30,30,,1月,2025旅遊商品累積上架數,39,,,2025旅遊商品累積上架數,39,69,101,166,219,265,308,352,417,491,529,567
02月,2025旅遊商品(國內),22,52,,2月,2025旅遊商品累積上架數,69,,,2025系統產品累積上架數,43,81,101,136,162,187,212,259,288,332,369,436
03月,2025旅遊商品(國內),20,72,,3月,2025旅遊商品累積上架數,101,,,2025專案服務產品累積上架數,7,49,59,96,113,134,184,193,201,232,249,286
04月,2025旅遊商品(國內),34,106,,4月,2025旅遊商品累積上架數,166,,,2026旅遊商品累積上架數,40,56,84,120,159,,,,,,,
05月,2025旅遊商品(國內),51,157,,5月,2025旅遊商品累積上架數,219,,,2026系統產品累積上架數,9,34,56,66,56,,,,,,,
06月,2025旅遊商品(國內),38,195,,6月,2025旅遊商品累積上架數,265,,,2026專案服務產品累積上架數,35,140,288,315,388,,,,,,,
07月,2025旅遊商品(國內),36,231,,7月,2025旅遊商品累積上架數,308,,,,,,,,,,,,,,,
08月,2025旅遊商品(國內),37,268,,8月,2025旅遊商品累積上架數,352,,,,,,,,,,,,,,,
09月,2025旅遊商品(國內),53,321,,9月,2025旅遊商品累積上架數,417,,,,,,,,,,,,,,,
10月,2025旅遊商品(國內),67,388,,10月,2025旅遊商品累積上架數,491,,,,,,,,,,,,,,,
11月,2025旅遊商品(國內),32,420,,11月,2025旅遊商品累積上架數,529,,,,,,,,,,,,,,,
12月,2025旅遊商品(國內),24,444,,12月,2025旅遊商品累積上架數,567,,,,,,,,,,,,,,,
01月,2025旅遊商品(海外),9,9,,1月,2025系統產品累積上架數,43,,,,,,,,,,,,,,,
02月,2025旅遊商品(海外),8,17,,2月,2025系統產品累積上架數,81,,,,,,,,,,,,,,,
03月,2025旅遊商品(海外),12,29,,3月,2025系統產品累積上架數,101,,,,,,,,,,,,,,,
04月,2025旅遊商品(海外),31,60,,4月,2025系統產品累積上架數,136,,,,,,,,,,,,,,,
05月,2025旅遊商品(海外),2,62,,5月,2025系統產品累積上架數,162,,,,,,,,,,,,,,,
06月,2025旅遊商品(海外),8,70,,6月,2025系統產品累積上架數,187,,,,,,,,,,,,,,,
07月,2025旅遊商品(海外),7,77,,7月,2025系統產品累積上架數,212,,,,,,,,,,,,,,,
08月,2025旅遊商品(海外),7,84,,8月,2025系統產品累積上架數,259,,,,,,,,,,,,,,,
09月,2025旅遊商品(海外),12,96,,9月,2025系統產品累積上架數,288,,,,,,,,,,,,,,,
10月,2025旅遊商品(海外),7,103,,10月,2025系統產品累積上架數,332,,,,,,,,,,,,,,,
